X,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Gustan
61,0.34,https://api.spotify.com/v1/audio-analysis/4MlQhbFxQjUhZKBoluof3W,0.409,202413,0.767,4MlQhbFxQjUhZKBoluof3W,3.21E-05,1,0.0961,-5.587,0,0.0736,170.03,4,https://api.spotify.com/v1/tracks/4MlQhbFxQjUhZKBoluof3W,audio_features,spotify:track:4MlQhbFxQjUhZKBoluof3W,0.364,0
62,0.458,https://api.spotify.com/v1/audio-analysis/33kqg5rgLZGCx5ZbFGF2sv,0.698,319761,0.702,33kqg5rgLZGCx5ZbFGF2sv,0,0,0.0876,-10.404,0,0.136,111.84,4,https://api.spotify.com/v1/tracks/33kqg5rgLZGCx5ZbFGF2sv,audio_features,spotify:track:33kqg5rgLZGCx5ZbFGF2sv,0.674,0
63,0.653,https://api.spotify.com/v1/audio-analysis/4ae223xfO5QUzbDWqLJMag,0.64,273738,0.796,4ae223xfO5QUzbDWqLJMag,0.00021,10,0.115,-4.571,0,0.0437,91.306,4,https://api.spotify.com/v1/tracks/4ae223xfO5QUzbDWqLJMag,audio_features,spotify:track:4ae223xfO5QUzbDWqLJMag,0.807,0
64,0.576,https://api.spotify.com/v1/audio-analysis/3u9W1EEjkOeWyyNydtGHbk,0.51,259027,0.501,3u9W1EEjkOeWyyNydtGHbk,0,9,0.0984,-11.992,1,0.0568,108.398,4,https://api.spotify.com/v1/tracks/3u9W1EEjkOeWyyNydtGHbk,audio_features,spotify:track:3u9W1EEjkOeWyyNydtGHbk,0.766,0
65,0.0547,https://api.spotify.com/v1/audio-analysis/0uakX8aHMuzA4pCEJPwZq9,0.791,233560,0.596,0uakX8aHMuzA4pCEJPwZq9,0.123,4,0.113,-4.974,1,0.0253,109.994,4,https://api.spotify.com/v1/tracks/0uakX8aHMuzA4pCEJPwZq9,audio_features,spotify:track:0uakX8aHMuzA4pCEJPwZq9,0.481,0
66,0.563,https://api.spotify.com/v1/audio-analysis/5ssTTGwQWkh7q5KJsEL2Je,0.779,186573,0.376,5ssTTGwQWkh7q5KJsEL2Je,0.000915,7,0.106,-12.122,1,0.0669,114.153,4,https://api.spotify.com/v1/tracks/5ssTTGwQWkh7q5KJsEL2Je,audio_features,spotify:track:5ssTTGwQWkh7q5KJsEL2Je,0.877,0
67,0.0578,https://api.spotify.com/v1/audio-analysis/3ZLRQgkLV8DjyLQhYCbMn0,0.85,251600,0.777,3ZLRQgkLV8DjyLQhYCbMn0,1.63E-05,7,0.137,-6.325,1,0.0651,130.011,4,https://api.spotify.com/v1/tracks/3ZLRQgkLV8DjyLQhYCbMn0,audio_features,spotify:track:3ZLRQgkLV8DjyLQhYCbMn0,0.863,0
68,0.191,https://api.spotify.com/v1/audio-analysis/3yBp0u9suQWVAJef47JZKP,0.71,211653,0.836,3yBp0u9suQWVAJef47JZKP,0,2,0.245,-6.092,1,0.0473,95.028,4,https://api.spotify.com/v1/tracks/3yBp0u9suQWVAJef47JZKP,audio_features,spotify:track:3yBp0u9suQWVAJef47JZKP,0.761,0
69,0.0812,https://api.spotify.com/v1/audio-analysis/4NwIwGqQaQkJIDZqog2cbf,0.734,223253,0.824,4NwIwGqQaQkJIDZqog2cbf,0,5,0.157,-4.013,1,0.0242,105.016,4,https://api.spotify.com/v1/tracks/4NwIwGqQaQkJIDZqog2cbf,audio_features,spotify:track:4NwIwGqQaQkJIDZqog2cbf,0.602,0
70,0.289,https://api.spotify.com/v1/audio-analysis/6hBPhp8Xu6SAPnL96UnMFP,0.498,221640,0.617,6hBPhp8Xu6SAPnL96UnMFP,0,3,0.0622,-7.465,1,0.0453,84.704,4,https://api.spotify.com/v1/tracks/6hBPhp8Xu6SAPnL96UnMFP,audio_features,spotify:track:6hBPhp8Xu6SAPnL96UnMFP,0.361,0
71,0.303,https://api.spotify.com/v1/audio-analysis/2NRbw7X5hCsJSlPn69vmvG,0.498,263547,0.875,2NRbw7X5hCsJSlPn69vmvG,0,1,0.378,-4.875,1,0.05,90.052,4,https://api.spotify.com/v1/tracks/2NRbw7X5hCsJSlPn69vmvG,audio_features,spotify:track:2NRbw7X5hCsJSlPn69vmvG,0.586,0
72,0.177,https://api.spotify.com/v1/audio-analysis/5osy3fEIkLiQPYoQKY5v1J,0.558,211776,0.98,5osy3fEIkLiQPYoQKY5v1J,0.000155,3,0.0685,-5.538,0,0.119,184.787,4,https://api.spotify.com/v1/tracks/5osy3fEIkLiQPYoQKY5v1J,audio_features,spotify:track:5osy3fEIkLiQPYoQKY5v1J,0.915,0
